series,seriesLabel,wikipediaPage,image,startTime,follower,score,locations,countries,genres,maleCreatorsCount,femaleCreatorsCount,otherCreatorsCount
http://www.wikidata.org/entity/Q5917340,How's Your News?,https://en.wikipedia.org/wiki/How%27s_Your_News%3F,,2009,,,,United States of America,comedy television series,1,0,0
http://www.wikidata.org/entity/Q3135821,Hippies,https://en.wikipedia.org/wiki/Hippies_(TV_series),http://commons.wikimedia.org/wiki/Special:FilePath/Hippies%2004thailand0026.jpg,1999,,,London,United Kingdom,sitcom,1,0,0
http://www.wikidata.org/entity/Q1401625,Wildes Herz Afrika,https://en.wikipedia.org/wiki/Wild_at_Heart_(British_TV_series),,2006,,,South Africa,United Kingdom,,1,0,0
http://www.wikidata.org/entity/Q5402655,Eternal Law,https://en.wikipedia.org/wiki/Eternal_Law,http://commons.wikimedia.org/wiki/Special:FilePath/Sign%20of%20filming%20drama%20%22Eternal%20Law%22.%20Purey%20Cust%20Hospital%2C%20York.jpg,2012,,,Yorkshire,United Kingdom,drama television series,1,0,0
http://www.wikidata.org/entity/Q119253067,Who Is Erin Carter?,https://en.wikipedia.org/wiki/Who_Is_Erin_Carter%3F,,2023,,,Catalonia,United Kingdom,"adventure television series, action television series",3,1,0
http://www.wikidata.org/entity/Q6488120,Lapataganj,https://en.wikipedia.org/wiki/Lapataganj,,2009,,,,India,,1,0,0
http://www.wikidata.org/entity/Q5936466,Hum Aapke Hai In laws,https://en.wikipedia.org/wiki/Hum_Aapke_Hain_In_Laws,,2013,,,,India,,1,0,0
http://www.wikidata.org/entity/Q19319517,Fauda,https://en.wikipedia.org/wiki/Fauda,http://commons.wikimedia.org/wiki/Special:FilePath/Reuven%20Rivlin%20with%20the%20personal%20of%20the%20Israeli%20television%20serie%20%C2%ABFauda%C2%BB%2C%20February%202018%20%284847%29.jpg,2015,22156,,"Israel, Palestine",Israel,"thriller television series, drama fiction, drama television series, political thriller, action television series, action film, thriller",4,0,0
http://www.wikidata.org/entity/Q65069352,The Baker and the Beauty,https://en.wikipedia.org/wiki/The_Baker_and_the_Beauty_(American_TV_series),,2020,6100,,,United States of America,comedy television series,1,0,0
http://www.wikidata.org/entity/Q124535504,Metukim,https://en.wikipedia.org/wiki/Metukim,,2024,,,,Israel,teen drama television,2,0,0
http://www.wikidata.org/entity/Q16128734,Beauty and the Baker,https://en.wikipedia.org/wiki/Beauty_and_the_Baker,,2013,,,,Israel,"drama television series, romantic comedy",2,0,0
http://www.wikidata.org/entity/Q111697720,Mai,https://en.wikipedia.org/wiki/Mai_(TV_series),,2022,,,,India,family drama,2,0,0
http://www.wikidata.org/entity/Q4661258,Aahat,https://en.wikipedia.org/wiki/Aahat_(Indian_TV_series),,1995,,,,India,horror television series,2,0,0
http://www.wikidata.org/entity/Q5006129,C.I.D. Kolkata Bureau,https://en.wikipedia.org/wiki/C.I.D._Kolkata_Bureau,,2012,,,,India,detective fiction,1,0,0
http://www.wikidata.org/entity/Q252118,C.I.D.,https://en.wikipedia.org/wiki/CID_(Indian_TV_series),,1998,,,,India,detective fiction,1,0,0
http://www.wikidata.org/entity/Q5248694,Decade of Doctors,https://en.wikipedia.org/wiki/Decade_of_Doctors,,2010,,,,United Kingdom,,0,0,0
http://www.wikidata.org/entity/Q6842748,Midnight Phantom,https://en.wikipedia.org/wiki/Midnight_Phantom_(TV_series),,2010,,,,Philippines,,0,2,0
http://www.wikidata.org/entity/Q6438289,Kristine,https://en.wikipedia.org/wiki/Kristine_(TV_series),,2010,,,,Philippines,,0,2,0
http://www.wikidata.org/entity/Q6007519,Impostor,https://en.wikipedia.org/wiki/Impostor_(TV_series),,2010,,,,Philippines,,0,1,0
http://www.wikidata.org/entity/Q97299388,Kaahin Kissii Roz,https://en.wikipedia.org/wiki/Kaahin_Kissii_Roz,,2001,,,,India,,0,0,0
http://www.wikidata.org/entity/Q6957111,Nach Baliye,https://en.wikipedia.org/wiki/Nach_Baliye,,2005,,,,India,,0,0,0
http://www.wikidata.org/entity/Q6751082,Mano Ya Na Mano,https://en.wikipedia.org/wiki/Mano_Ya_Na_Mano_(1995_TV_series),,1995,,,,India,,0,0,0
